class path,method name,method arguments,Time,OwnTime,count
src\java\org\apache\ivy\plugins\repository\AbstractRepository.java,removeTransferListener,TransferListener,4,1,608
test\java\org\apache\ivy\plugins\report\XmlReportWriterTest.java,getResolveOptions,String[],0,0,3
src\java\org\apache\ivy\core\settings\IvySettings.java,addVersionMatcher,VersionMatcher,32,6,1823
src\java\org\apache\ivy\core\settings\IvySettings.java,addConfigured,ModuleDescriptorParser,0,0,2
src\java\org\apache\ivy\plugins\report\XmlReportWriter.java,output,"ConfigurationResolveReport, OutputStream",2,0,4
src\java\org\apache\ivy\ant\IvyRetrieve.java,doExecute,,10973,0,23
src\java\org\apache\ivy\ant\IvyArtifactReport.java,startArtifact,"TransformerHandler, Artifact",0,0,1
test\java\org\apache\ivy\ant\IvyArtifactReportTest.java,<init>,,0,0,1
src\java\org\apache\ivy\core\module\descriptor\DefaultModuleDescriptor.java,getExtraAttribute,String,0,0,10
src\java\org\apache\ivy\core\module\descriptor\AbstractArtifact.java,equals,Object,82,8,853
test\java\org\apache\ivy\plugins\resolver\Maven2LocalTest.java,setUp,,15,0,2
src\java\org\apache\ivy\plugins\resolver\IBiblioResolver.java,findArtifactRef,"Artifact, Date",4641,0,168
src\java\org\apache\ivy\plugins\resolver\packager\PackagerResolver.java,findArtifactRef,"Artifact, Date",0,0,6
test\java\org\apache\ivy\ant\IvyFindRevisionTest.java,<init>,,0,0,3
src\java\org\apache\ivy\core\cache\DefaultRepositoryCacheManager.java,getSavedArtResolverName,ModuleDescriptor,180,0,414
src\java\org\apache\ivy\core\resolve\IvyNodeUsage.java,getDependencyArtifactsSet,String,87,14,2474
src\java\org\apache\ivy\Ivy14.java,interrupt,,0,0,4
src\java\org\apache\ivy\Ivy.java,newInstance,,10867,2,1181
test\java\org\apache\ivy\core\resolve\ResolveTest.java,testCircular2,,458,0,1
src\java\org\apache\ivy\plugins\repository\vfs\VfsResource.java,init,,3,0,26
src\java\org\apache\ivy\plugins\parser\xml\XmlModuleDescriptorWriter.java,printDependencyExcludeRules,"ModuleDescriptor, PrintWriter, ExcludeRule[]",1,0,165
src\java\org\apache\ivy\ant\IvyRetrieve.java,<init>,,0,0,46
test\java\org\apache\ivy\ant\IvyPostResolveTaskTest.java,testWithResolveIdAndPreviousResolveInSameBuildAndWildcard,,346,0,1
src\java\org\apache\ivy\core\module\descriptor\DefaultDependencyDescriptor.java,getAttributes,,0,0,7
src\java\org\apache\ivy\plugins\version\ExactVersionMatcher.java,accept,"ModuleRevisionId, ModuleRevisionId",0,0,2321
src\java\org\apache\ivy\core\cache\ModuleDescriptorMemoryCache.java,putInCache,"File, ParserSettingsMonitor, boolean, ModuleDescriptor",165,3,785
src\java\org\apache\ivy\core\event\IvyEvent.java,getAttributes,,0,0,25
src\java\org\apache\ivy\plugins\resolver\CacheResolver.java,ensureConfigured,,0,0,18
src\java\org\apache\ivy\core\module\id\ArtifactId.java,hashCode,,28,24,10303
src\java\org\apache\ivy\plugins\resolver\packager\BuiltFileResource.java,<init>,File,0,0,9
src\java\org\apache\ivy\plugins\resolver\util\MDResolvedResource.java,<init>,"Resource, String, ResolvedModuleRevision",0,0,17
src\java\org\apache\ivy\core\module\descriptor\DefaultDependencyDescriptor.java,getIncludeRules,,1,1,2127
src\java\org\apache\ivy\plugins\resolver\util\FileURLLister.java,accept,String,0,0,13
