id, seed, size, upperDepth, upperWidth, lowerDepth, lowerWidth
261,org.apache.ivy.plugins.namespace.NamespaceTransformer.transform(ModuleRevisionId),328,15,113,0,0
262,org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater.UpdaterHandler.startPublications(Attributes),243,16,44,3,3
263,org.apache.ivy.core.settings.IvySettings.getConflictManager(String),97,6,25,4,3
264,org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater.ExtendedBuffer.ExtendedBuffer(String),243,15,44,0,0
265,org.apache.ivy.core.resolve.ResolveOptions.setTransitive(boolean),639,15,137,0,0
266,org.apache.ivy.plugins.resolver.BasicResolver.UnresolvedDependencyException.UnresolvedDependencyException(),468,12,99,1,1
267,"org.apache.ivy.core.report.ResolveReport.addReport(String, ConfigurationResolveReport)",530,16,95,0,0
268,org.apache.ivy.core.settings.IvySettings.ModuleSettings.getResolverName(),12,6,3,0,0
269,"org.apache.ivy.core.resolve.IvyNode.getEvictionDataInRoot(String, IvyNode)",34,2,1,8,13
270,"org.apache.ivy.core.event.resolve.ResolveEvent.ResolveEvent(String, ModuleDescriptor, String[])",172,2,6,12,50
271,org.apache.ivy.util.FileUtil.readEntirely(BufferedReader),21,5,6,0,0
272,"org.apache.ivy.ant.IvyBuildNumber.findFirstNumber(String, int)",7,2,4,1,1
273,org.apache.ivy.plugins.parser.m2.PomDependencyMgt.getScope(),399,12,102,0,0
